id;code;marque;modele;caracteristiques;prix_unitaire;quantite
1;conglomeration Table driver;Assimilated compress Cambridgeshire;XSS logistical Movies;online auxiliary;60931;91188
2;c Soap;Plastic;Market Soap Sausages;web-readiness;75223;37721
3;back;Cambridgeshire;THX Practical Gloves;Borders sensor Nord-Pas-de-Calais;85981;68305
4;array Samoa;Chair;Granite a salmon;metrics Multi-channelled;41489;49939
5;Graphical;indexing Outdoors turquoise;Keyboard Frozen Movies;Persistent;3714;31911
6;portal Concrete;synergistic;Music connect;orchid Trinité-et-Tobago;633;25456
7;Cheese;strategize la Cambridgeshire;withdrawal feed calculate;deposit national;22569;58333
8;Sleek azure Refined;du;back-end;Borders;54397;63238
9;microchip;definition bifurcated;Account calculating;Rhône-Alpes deposit;60213;70469
10;b de copy;Money partnerships c;de Ingenieur distributed;Slovénie Grèce a;96472;30320
